finding_id,severity,status,title,evidence,owner,deadline_gate,resolution,verification
F401-001,critical,open,Managed secret rotation and emergency revocation are not implemented,"Internal assertions are short-lived and server-only, but use one symmetric secret with no key ID or rotation procedure.",Security/Platform,Before any hosted operational preview,Implement managed environment-separated secrets with documented normal/emergency rotation and overlap or coordinated cutover.,Rotation drill proves old credentials stop working and no secret appears in browser/build/log output.
F401-002,high,open,Retention and deletion enforcement is absent,"Provider envelopes, facts, alerts, actions, identity records, and audit records have no scheduled field/source-aware deletion implementation.",Backend/Legal,Before commercial trial payload persistence,Implement approved retention configuration deletion inventory dry-run approval tombstones and deletion audit.,Database tests prove expiry tenant/provider deletion restore suppression and audit evidence.
F401-003,critical,blocked,Commercial provider rights and attribution controls are unresolved,"FT-301 rights SLA price trial and final decision records remain pending; public terms cannot authorize the adapter.",Product/Legal,Before commercial credentials or payloads enter a shared environment,Map every accepted or exception contract response to an enforceable UI storage export AI and deletion control.,Legal approval plus passing FT-301 completion validator and provider-specific contract/control tests.
F401-004,high,open,Alert assignee tenant integrity is not enforced by the database,"The store validates same-operator active assignees but alerts.assigned_identity_id references auth_identities without operator_id.",Backend/Security,Before limited pilot,Add operator-scoped referential integrity or an equivalent database invariant without weakening store checks.,PostGIS test proves direct and API cross-tenant assignment fail while valid assignment succeeds.
F401-005,medium,open,Production browser security headers are not configured,"apps/web/next.config.ts configures standalone output only; CSP framing MIME referrer and permissions policies are absent.",Web/Platform,Before any preview URL is shared outside the team,Define environment-compatible CSP and security headers without exposing API or identity secrets.,Browser/header smoke test verifies the approved header set and Clerk/BFF/SSE behavior.
F401-006,high,open,Commercial ingestion abuse and quarantine controls are undefined,"NOAA is bounded and normalized but no selected-provider adapter yet defines size rate schema poison-message quarantine or backlog limits.",Backend/Security,Before FT-302 live adapter activation,Specify and implement bounded parsing rate limits rejection/quarantine metrics replay safety and operator-visible degradation.,Adversarial fixture and FT-402 drills prove bounded memory retries quarantine and recovery.
F401-007,high,open,Audit access retention export and privileged-action monitoring are incomplete,"Alert and authorization audit rows exist but no approved audit-reader export redaction integrity review or suspicious-action alerting exists.",Security/Backend,Before limited pilot,Implement tenant-scoped audit review/export with redaction retention controls and alerts for membership/session/high-risk action anomalies.,Authorization tests export review and an incident drill prove access and integrity.
F401-008,high,open,Backup restore and deletion-tombstone procedures are untested,"No managed database backup configuration restore evidence RPO/RTO or restore-time revocation/deletion replay exists.",Platform/Security,Before FT-402 database recovery drill,Implement encrypted isolated backups retention tombstones and a controlled restore runbook.,Restore drill records RPO/RTO PostGIS migrations tenant counts revocations and deleted-data non-resurrection.
F401-009,high,open,Advisory and environment language is not persistent across the console,"Flight detail is explicit and footer says simulation but alert queue and no-selection states lack a persistent limitation; live environment label is not modeled.",Product/Legal/Web,Before representative-user pilot,Approve exact advisory wording and render a persistent environment/source authority label in every operational state.,UI tests and Legal/Product/operator review cover queue detail empty loading degraded and error states.
F401-010,medium,open,Public health probes expose more operational detail than a minimal external liveness contract,"Health and readiness are unauthenticated and include service version checks and worker details.",Platform/Security,Before public production ingress,Keep load-balancer probes minimal or private and move detailed diagnostics behind authenticated or network-restricted access.,External-origin smoke test sees only approved minimal fields while operators retain protected diagnostics.
